id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
36560504,3444149595305,"Đặc điểm nổi bậtKích thước 19 x 6,5 cmNắp, thân bình: nhựa Tritan / Quai xách: TPE / Gioăng: siliconeBình nước làm từ Tritan, không chứa chất độc hại và an toàn cho sức khỏe của bạn.Dễ dàng mở nắ...",142000,290000,,148000,51,507,,available,,1000,1000,,48077,LocknLock
71924152,9919090391367,"Mùng Chụp, Màn Chụp Tự Bung Không Đáy Chống Muỗi Cao Cấp Thương Hiệu FUNU - Hàng Chính Hãng (Sản Xuất 100% Tại Việt Nam)THIẾT KẾ THÔNG MINH:Mùng dễ dàng tự bung ra bằng thao tác nhẹ nhàng, gấp gọn t...",138000,150000,,12000,8,215,,available,,1000,1000,,839837,FuNu
71206737,2301703637561,THÔNG TIN SẢN PHẨM- Đèn laser 303 công suất 5.000mw có thể phát tia sáng xanh/đỏ (bước sóng 532nm) xa hàng km.- Thân máy: màu đen- Màu đèn: Màu xanh lá cây/đỏ- Chất liệu thân: aerometal- Nút...,125000,145000,,20000,14,240,,available,,1000,1000,,837721,Essesa
127747995,3156330539235,"CHĂN CỪU TAFURONG - Chăn Len Cừu Mông Cổ thế hệ mới ra mắt 2021️~Thiết kế 2 mặt chăn cừu cực kỳ bắt mắt, mặt trước dệt đan len, mặt sau lớp lông cừu siêu ấm siêu mềm nổi tiếng đến từ những chú cừu Mô...",299000,450000,,151000,34,199,,available,,1000,1000,,697923,LIDACO
272318899,5985712364484,"Bộ chuyển đổi ổ cắm 3 chấu thành 2 chấu. An toàn sử dụng. Tuổi thọ cao. Dễ dàng duy trì. Đơn giản; tiện lợi. Chất liệu nhựa cao cấp, an toàn cho người sử dụng. Công suất hỗ trợ lên tới 10A.Tiện dụng đ...",23750,25000,,1250,5,6,,available,,1000,1000,,839837,FuNu
6710595,2996798484642,"Bộ 10 móc treo dán tường chịu lực 10kgDễ dàng tháo bỏ.Màu sắc trong suốt nhã nhặn.Mó c treo inox không gỉ.Tải trọng tối đa 5kgChất liệu: nhựaCuộc sống ngày càng bận rộn, thời gian dọn dẹp nhà ...",29000,39000,,10000,26,9,,available,,1000,1000,,111461,OEM
99994000,9415199298102,"Bình giữ nhiệt có ống hút Lock&Lock Bucket Tumbler with Straw LHC4268 thiết kế tay cầm chắc chắn giúp bạn thuận tiện mang theo mọi lúc mọi nơi.Nắp và lưới lọc có thể tháo rời, dễ dàng vệ sinh....",215000,473000,,258000,55,1395,,available,,1000,1000,,48077,LocknLock
210458939,7815875367097,"Đĩa Giấy Bạc Lót Nồi Chiên Không Dầu, Khay Bạc Nướng Thực Phẩm Đóng gói:  1 set đĩa giấy bạc️ Tính năng Giúp đồ ăn không tiếp xúc với đáy nồi chiên, đồ ăn khó bị cháy hơn và giữ được nước và hương v...",25000,25000,,0,0,43,,available,,1000,1000,,5706641,NAVIVU
197972938,3291657018216," Với tường nhà hư hỏng nặng có nhiều lỗ thủng lớn Quý Khách nên sử dụng keo đất sét để lấp lỗ trước khi trải keo trám tường để đảm bảo hiệu quả, thẩm mỹ & tiết kiệm keo**Lưu ý: Sản phẩm sẽ KHÔNG ...",29000,50000,,21000,42,58,,available,,1000,1000,,561415,	OEM
34818286,5518269660484,"*LƯU Ý: kích thước có thể sai lệch 1-3 cm do quá trình mayTúi quai xách tiện lợiKhóa kéo 3/4 miệng túi, 2 dây kéo chắc chắnVải bạt chống nước, có thể giặt và tái sử dụng nhiều lầnChất liệu bền bỉ cho ...",50000,50000,,0,0,538,,available,,1000,1000,,111461,OEM
182432982,7802674624498,"KỆ ĐỂ GIÀY DÉP SAGOKER KED201TÍNH NĂNG của KỆ ĐỂ GIÀY DÉP SAGOKER KED201:Kệ giày giúp bạn lưu trữ và quản lý giày, dép một cách gọn gàng, ngăn nắp, giữ form giày, dép luôn đẹp như mới.Kiểu dáng chắc...",94999,99999,,5000,5,87,,available,,1000,1000,,4024633,SAGOKER
147386626,6994668215608,"       Bộ Nồi 3 Món Inox Cao Cấp MISU LOUIS Chính Hãng, Đáy Liền Nguyên Khối 3 Đáy, Sử Dụng Mọi Loại Bếp   /-heart /-heart /-heart sỉ 410k /1 bộ   ️ BỘ NỒI 3 món MISU LOUIS - Đẳng cấp làm lên Th...",599000,599000,,0,0,0,,available,,1000,1000,,111461,OEM
70820849,1743485832108,Pin CR2032 Energizer 3V chính hãng  • Loại pin: Pin Lithium.  • Hãng: Energizer (USA).  • Model: Energizer CR2032.  • Điện thế: 3V.  • Kích thước: Pin CR2032/ Pin cúc áo/ Pin đồng xu/ 5004LC/ BR2032/...,55100,58000,,2900,5,228,,available,,1000,1000,,19312,Energizer
32021492,2909854322581,"Ổ Khóa Số Du Lịch Stanley S742-054 là loại khóa số có ứng dụng rộng rãi, được nhiều người chọn lựa vì tính an toàn mà sản phẩm mang lại. Khóa STANLEY được coi là sản phẩm được sản xuất và kiểm soát c...",136000,167000,,31000,19,33,,available,,1000,1000,,26718,Stanley
255640837,5528009757958,"Mô tả sản phẩm Khăn Lau Chén Bát 2 Màu Đa Năng Siêu Thấm Hút Sợi VảiĐây là sản phẩm quà tặng kèm, shop không kinh doanh sản phẩm này, khách thông cảm ạ !Khăn lau chén bát đa năng với chất vải mềm ...",6000,6000,,0,0,0,,available,,1000,1000,,111461,OEM
7221847,8479744178320,"Thân nồi được làm bằng inox cao cấpBộ Nồi Inox 5 Đáy Sunhouse Mama SH784 chất liệu inox cao cấp giúp cho bộ nồi SH784 sáng bóng, dễ dàng lau chùi, vệ sinh. Kiểu dáng của bộ nồi sang trọng,...",694000,1340000,,646000,48,288,,available,,1000,1000,,41048,Sunhouse
132247327,8395787340640,"       Nồi hấp 3 tầng 28cm.     trọn bộ    Dùng được tất cả các loại bếp    Đồ xôi, hâm nóng thước ăn, luộc gà cùng lúc siêu tiết kiệm.   ️️Bỏ 2 tầng trên ra thành nồi nấu canh, luộc gà đk 28c...",99900,99900,,0,0,0,,available,,1000,1000,,111461,OEM
197070658,3094683633594,"Cây Lau Nhà 360 VinBuy Thông Minh Tự Vắt với thiết kế thông minh tự vắt khô nước mà không cần đụng tay. Rất tiện lợi, sạch sẽ bảo vệ da tay sức khỏe của chị em khi lau dọn nhà cửa.Chổi lau nhà vắt k...",172000,299000,,127000,42,43,,available,,1000,1000,,4224691,VinBuy
206485076,7914870955601,"Một nén hương - Một lòng thành kính. Một làn khói - Một tâm an. Hay đơn giản là sự thư giãn tịnh tâm sau 1 ngày dài làm việc căng thẳng.Bạn chọn làn khói thiên nhiên thuần khiết, làn khói an toàn cho...",48000,60000,,12000,20,158,,available,,1000,1000,,7486975,Dương Minh Since 1984
115436781,5506839027893,"Dây đèn LED sử dụng năng lượng mặt trời để chiếu sáng rất tiết kiệm điện và dễ lắp đặt.Kích thước bóng: bóng nhỏ 1.8cm, bóng lớn 2.5cmBộ sản phẩm gồm: 1 dây đèn LED, 1 tấm pin mặt trời tích hợp nút đi...",270000,270000,,0,0,41,,available,,1000,1000,,111461,OEM
273159831,7459903129368,Quả Thông Khô Đà Lạt Tự Nhiên Trang Trí Giáng Sinh Đóng gói:  1 quả thông tự nhiên (kích thước có thể sai lệch 1-3cm so với thông số)️ Tính năng Thông Đà Lạt tự nhiên được phơi khô để tiện bảo quản ...,40000,40000,,0,0,0,,available,,1000,1000,,5706641,NAVIVU
272913561,5892747945914," GEL THÔNG TẮC SINH HỌC VỆ SINH CỐNG, LÀM SẠCH ĐƯỜNG ỐNG, CHẬU RỬA BÁT, NHÀ VỆ SINH AIKOMI Gel Thông Tắc Đường Ống Sinh Học AIKOMI với công nghệ Nhật Bản tiên tiến kết hợp các thành phần hoá học chuy...",71250,75000,,3750,5,4,,available,,1000,1000,,4995383,Ximo
16363204,3506345860110,Cân Điện Tử Cầm Tay Thép Ngang PT153 – Cân Điện Tử Mini Dạng Treo Nhỏ Gọn Tiện Lợi. Tự động khóa chỉ số cân sau 3 giây (lưu lại chỉ số cân ngay cả khi bạn tháo vật được cân ra khỏi cân). Kiểu dáng nhỏ...,129000,129000,,0,0,38,,available,,1000,1000,,111461,OEM
160310283,6084601592885,"Găng Tay Tắm Funu Giúp Tẩy Tế Bào Chết, Làm Sạch Da - Hàng Chính HãngTÍNH NĂNG ƯU VIỆT CỦA SẢN PHẨM- Găng Tay Tắm Funu Giúp Tẩy Tế Bào Chết, Làm Sạch Da toàn thân, thay thế khăn tắm truyền thống, dễ...",30360,33000,,2640,8,232,,available,,1000,1000,,839837,FuNu
22430108,2204094611878,"Chất liệu : nhựa PVC dẻo, sử dụng được nhiều lầnKích thước : nhiều kích thước Ủng có màu : trắngỦng có khóa kéo và dây buộc chống thắm nướcỦng có đế cao su chống trơn trượtỦng làm bằng nhựa dẻo ...",69900,69900,,0,0,2,,available,,1000,1000,,111461,OEM
106563599,6200556691392,"Bóng đèn Philips LEDBright E27 230V 1CT/12 APR, mang trong mình thiết kế hiện đại, mạnh mẽ và sang trọng đến từ thương hiệu Philips sẽ khiến bạn hài lòng trong quá trình sử dụng, chất lượng sáng cao, ...",63700,89500,,25800,29,134,,available,,1000,1000,,19018,Philips
57971649,1228390051603,"Chảo Lock&Lock Easy Frypan được thiết kế tiện dụng, giúp bạn thao tác nấu nướng linh hoạt hơn mà vẫn đảm bảo an toàn.Sản phẩm được làm bằng hợp kim nhôm, phủ lớp chống bám dính hiệu quả, khó trầ...",285000,593000,,308000,52,357,,available,,1000,1000,,48077,LocknLock
